Ticker,Sector
AAPL,Technology
MSFT,Technology
GOOGL,Technology
AMZN,Technology
NVDA,Technology
META,Technology
TSLA,Technology
AMD,Technology
JPM,Financials
GS,Financials
BAC,Financials
MS,Financials
BLK,Financials
C,Financials
WFC,Financials
AXP,Financials
JNJ,Healthcare
UNH,Healthcare
PFE,Healthcare
MRK,Healthcare
ABT,Healthcare
TMO,Healthcare
LLY,Healthcare
ABBV,Healthcare
XOM,Energy
CVX,Energy
COP,Energy
SLB,Energy
OXY,Energy
NEE,Energy
WMT,Consumer
PG,Consumer
KO,Consumer
PEP,Consumer
COST,Consumer
NKE,Consumer
MCD,Consumer
SBUX,Consumer
CAT,Industrials
HON,Industrials
UPS,Industrials
BA,Industrials
GE,Industrials
LMT,Industrials
RTX,Industrials
DE,Industrials
DIS,Media
NFLX,Media
V,Payments
MA,Payments
